AnimalID,Name,DateTime,FoundLocation,Latitude,Longitude,IntakeType,IntakeCondition,AnimalType,IntakeSex,IntakeAge,Breed
A765065,Georgia,1/12/18 12:54,12600 Black Stone Ridge Gap in Manor (TX),,,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix
A765100,Logan,1/13/18 8:59,Fontenay Dr And Medow Lake in Austin (TX),30.1798003,-97.7512594,Stray,Normal,Dog,Neutered Male,11 months,Pit Bull/Chow Chow
A687986,*Patron,1/13/18 11:04,Outside Jurisdiction,,,Owner Surrender,Normal,Dog,Neutered Male,4 years,Pit Bull Mix
A761244,Watcho,1/13/18 11:47,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Intact Male,3 years,Pit Bull Mix
A765113,*Ronnie,1/13/18 11:57,6600 Fm 969 in Austin (TX),30.2847203,-97.6571067,Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix
A765126,*Dottie,1/13/18 13:42,1600 Wickersham Lane in Austin (TX),30.2364768,-97.718735,Stray,Normal,Dog,Spayed Female,6 years,Pit Bull Mix
A731689,Ziggy,1/13/18 15:42,7313 Bennet Avenue in Austin (TX),30.333035,-97.698802,Stray,Normal,Dog,Spayed Female,1 year,Pit Bull Mix
A764968,Precious,1/13/18 17:14,Austin (TX),30.267153,-97.7430608,Public Assist,Normal,Dog,Intact Female,2 years,Boxer/Pit Bull
A761283,Jabba,1/14/18 14:57,8808 Piney Point Drive in Austin (TX),30.450069,-97.77628,Stray,Normal,Dog,Neutered Male,9 months,Pit Bull Mix
A701265,Blue,1/14/18 16:44,9901 Rodriguez Road in Austin (TX),30.1152071,-97.7039742,Stray,Normal,Dog,Neutered Male,4 years,Pit Bull Mix
A764732,*Figaro,1/14/18 17:01,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Neutered Male,3 years,Pit Bull Mix
A748253,Cocoa,1/15/18 11:16,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Spayed Female,1 year,Pit Bull Mix
A764719,Jack,1/15/18 12:25,Manor (TX),30.3407629,-97.5569456,Owner Surrender,Normal,Dog,Neutered Male,10 months,Pit Bull Mix
A765207,Brodie,1/15/18 12:27,907 West Slaughter Lane in Austin (TX),30.1606549,-97.807902,Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix
A765229,*Brian,1/15/18 14:48,1313 Montpolis Drive in Austin (TX),30.2301121,-97.6997328,Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix
A737833,Rio,1/15/18 16:18,4534 West Gate in Austin (TX),30.2307302,-97.802711,Stray,Normal,Dog,Neutered Male,3 years,Pit Bull Mix
A765250,Cowboy,1/15/18 22:04,6904 Juno in Austin (TX),30.2967026,-97.6450418,Owner Surrender,Injured,Dog,Intact Male,1 year,Pit Bull Mix
A765249,Luke,1/15/18 22:04,6904 Juno in Austin (TX),30.2967026,-97.6450418,Owner Surrender,Injured,Dog,Intact Male,1 year,Pit Bull Mix
A765284,Baby,1/17/18 7:38,Old Post Rd in Austin (TX),30.1781374,-97.7544128,Stray,Normal,Dog,Neutered Male,4 years,Pit Bull/German Shepherd
A765294,Dro,1/17/18 11:35,Loyola Lane And Johnny Morris Road in Austin (TX),30.3001757,-97.6482673,Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A765300,*Rajah,1/17/18 13:11,5800 Techni Center Drive in Austin (TX),30.2797067,-97.6699519,Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A736334,Roxie,1/17/18 13:56,124 West Anderson Lane in Austin (TX),30.3446809,-97.7052255,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix
A736335,Lola,1/17/18 13:56,124 West Anderson Lane in Austin (TX),30.3446809,-97.7052255,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix
A765311,,1/17/18 14:56,2410 East Riverside Drive in Austin (TX),30.237046,-97.723303,Stray,Normal,Dog,Intact Female,4 weeks,Pit Bull Mix
A731689,Ziggy,1/17/18 15:42,7211 Bennett Ave in Austin (TX),30.3317172,-97.6997858,Public Assist,Normal,Dog,Spayed Female,1 year,Pit Bull Mix
A765315,*Benito,1/17/18 15:55,10602 Macmora Rd in Austin (TX),30.3833956,-97.705989,Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix
A755464,Penelope,1/17/18 16:09,Fm 620 And Storm Lane in Austin (TX),30.3846186,-97.9427733,Stray,Normal,Dog,Spayed Female,2 years,Pit Bull Mix
A765318,*Bobby,1/17/18 16:35,5507 Jfk in Travis (TX),30.2522863,-97.5751168,Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix
A765336,Ice,1/17/18 22:36,Manchaca At Lear Lane in Austin (TX),30.1966521,-97.8094603,Public Assist,Normal,Dog,Intact Female,10 months,Pit Bull Mix
A765341,*Badger,1/18/18 11:22,1603 East Oltorf Street in Austin (TX),30.2330108,-97.7398454,Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix
A765207,Brodie,1/18/18 12:35,Brodie Lane And Sunland Drive in Austin (TX),30.158305,-97.8599484,Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix
A765360,Scrappy,1/18/18 13:53,Del Valle (TX),30.2091069,-97.6472349,Owner Surrender,Normal,Dog,Intact Female,4 years,Pit Bull Mix
A765374,Koda,1/18/18 16:41,Moore And Highway 130 in Austin (TX),30.2264499,-97.621989,Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A765394,*Bumper,1/19/18 10:43,700 Jf Nagel in Manor (TX),33.0429391,-97.0105495,Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A765424,Baby,1/19/18 19:48,2417 W Ben White in Austin (TX),30.232101,-97.794385,Stray,Injured,Dog,Intact Female,2 years,Pit Bull Mix
A765426,Jean Grey,1/20/18 8:14,13450 Research Boulevard in Austin (TX),30.4471133,-97.791454,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix
A744057,*Hyatt,1/20/18 11:29,Outside Jurisdiction,,,Owner Surrender,Normal,Dog,Neutered Male,3 years,Pit Bull Mix
A765445,Argos,1/20/18 13:44,M9400 Meadow Vale in Austin (TX),30.3697162,-97.7125765,Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix
A765448,*Eloise,1/20/18 14:07,Twin Creeks And Old Manchaca Road in Travis (TX),30.2481054,-97.5558687,Stray,Normal,Dog,Intact Female,2 years,Pit Bull/Rottweiler
A712560,Cocoa,1/20/18 18:45,13431 Klaus Lane in Travis (TX),30.3591139,-97.4266955,Stray,Normal,Dog,Spayed Female,3 years,Pit Bull Mix
A765493,*Milk Shake,1/21/18 12:33,12330 Soith Ih 35 Frontage Road in Austin (TX),30.1199598,-97.8043735,Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix
A765491,*Frenchfries,1/21/18 12:33,12330 Soith Ih 35 Frontage Road in Austin (TX),30.1199598,-97.8043735,Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix
A765495,*Tater Tot,1/21/18 13:29,South 1St Street And West Slaughter Lane in Austin (TX),30.1725547,-97.7995148,Stray,Normal,Dog,Intact Male,9 months,Pit Bull/Labrador Retriever
A764721,Xena,1/21/18 15:39,Outside Jurisdiction,,,Owner Surrender,Normal,Dog,Spayed Female,2 years,American Pit Bull Terrier Mix
A764651,Bino,1/21/18 16:14,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull Mix
A765513,Nerra,1/21/18 17:15,Smoothing Iron Drive in Pflugerville (TX),30.4316259,-97.6369618,Stray,Normal,Dog,Intact Female,10 months,Pit Bull Mix
A752934,*Malin,1/21/18 17:36,Lamar in Austin (TX),30.2444538,-97.7811197,Stray,Normal,Dog,Neutered Male,1 year,Pit Bull Mix
A616559,Stella,1/22/18 8:05,7103 Bennett Ave in Austin (TX),30.3304728,-97.7005811,Stray,Injured,Dog,Spayed Female,7 years,Pit Bull Mix
A765521,Jake,1/22/18 8:25,Stassney & South 1St in Austin (TX),30.2084327,-97.7815497,Stray,Sick,Dog,Neutered Male,16 years,Pit Bull Mix
A765523,Jj,1/22/18 10:27,1308 Yorkshire Dr in Austin (TX),30.316507,-97.6990118,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix
